Geneid,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000007001,3,3,4,0,2,0,0,1
ENSG00000007038,1,0,5,2,0,0,1,2
ENSG00000007047,709,651,771,506,900,1009,650,734
ENSG00000007062,1,0,1,0,0,1,0,0
ENSG00000007080,621,687,690,367,760,1112,452,554
ENSG00000007129,0,0,0,0,0,0,0,0
ENSG00000007168,3448,3179,4128,2538,4098,5104,3036,3424
ENSG00000007171,0,2,0,0,3,1,5,1
ENSG00000007174,0,1,1,0,2,1,0,0
ENSG00000007202,4871,3869,6060,3234,5838,7705,4328,4450
ENSG00000007216,0,0,0,0,0,0,0,0
ENSG00000007237,398,111,305,42,269,142,1288,710
ENSG00000007255,128,145,114,113,133,165,109,98
ENSG00000007264,0,0,0,0,0,0,0,0
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,0,2,0,4,4,0,1,2
ENSG00000007314,0,1,2,1,1,0,1,0
ENSG00000007341,173,143,211,86,226,335,178,222
ENSG00000007350,0,0,0,0,0,0,0,0
ENSG00000007372,14,18,11,1,10,15,17,15
ENSG00000007376,288,270,220,116,284,381,206,235
ENSG00000007384,1925,1827,1873,924,1782,2317,1570,1802
ENSG00000007392,758,581,794,405,818,785,601,591
ENSG00000007402,18,15,13,20,17,10,19,33
ENSG00000007516,3,8,8,5,12,14,7,10
ENSG00000007520,551,520,520,260,523,769,419,452
ENSG00000007541,513,445,446,251,399,630,352,485
ENSG00000007545,234,237,265,164,280,351,217,218
ENSG00000007866,1458,2033,1620,1319,1184,2121,1059,1667
ENSG00000007908,0,0,0,0,0,0,0,0
ENSG00000007923,615,582,755,417,854,1067,595,595
ENSG00000007933,761,781,2154,1549,221,340,274,281
ENSG00000007944,356,229,496,191,481,422,314,215
ENSG00000007952,9,10,8,9,11,13,5,8
ENSG00000007968,2,4,1,2,0,2,0,0
ENSG00000008018,1647,1452,1754,1056,1584,1918,1307,1344
ENSG00000008056,6,19,18,15,8,16,11,14
ENSG00000008083,276,256,283,205,294,518,211,353
ENSG00000008086,350,314,394,172,429,535,302,305
ENSG00000008118,3,2,9,2,8,4,6,11
ENSG00000008128,61,59,45,19,23,35,69,93
ENSG00000008130,942,1375,1003,961,972,1677,772,1768
ENSG00000008196,1,1,1,1,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,9,4,5,2,6,4,5,14
ENSG00000008256,1802,3018,2968,3543,2680,8311,2043,5084
ENSG00000008277,18,14,23,14,19,17,23,16
ENSG00000008282,1865,1758,1956,1638,1874,2677,1823,2135
ENSG00000008283,544,469,585,312,591,787,422,406
ENSG00000008294,2793,2250,3493,1977,3206,3853,2924,2927
ENSG00000008300,64,83,85,46,119,172,69,83
ENSG00000008311,872,1645,1004,1187,782,1647,713,1855
ENSG00000008323,6,13,3,3,11,18,5,5
ENSG00000008324,110,157,85,99,106,145,111,136
ENSG00000008382,125,91,129,69,131,194,95,106
ENSG00000008394,2688,2787,2826,1882,6792,7743,2431,2558
ENSG00000008405,251,262,270,163,274,405,314,251
ENSG00000008438,0,6,1,1,1,1,0,3
ENSG00000008441,13331,9228,12679,5620,11214,10746,11225,9116
ENSG00000008513,2043,1183,1721,574,2586,2254,1569,1059
ENSG00000008516,5,2,2,0,5,6,3,4
ENSG00000008517,105,59,134,46,46,35,120,69
ENSG00000008710,3512,3734,3608,2091,2885,6144,2951,5115
ENSG00000008735,13,20,17,13,18,12,14,21
ENSG00000008838,1212,990,1259,638,1317,1589,939,1050
ENSG00000008853,449,485,498,417,496,831,452,814
ENSG00000008869,735,642,757,452,769,923,655,707
ENSG00000008952,4468,4401,5356,3587,5707,8041,4867,5163
ENSG00000008988,11646,10398,11768,6349,10513,11880,8704,8486
ENSG00000009307,14761,12742,19526,11365,19460,21602,13232,14710
ENSG00000009335,2000,1997,2164,1466,2347,3138,1676,1940
ENSG00000009413,5084,9801,5308,7369,5691,10448,4742,12123
ENSG00000009694,21,8,2,2,2,0,1,1
ENSG00000009709,0,0,0,0,0,0,0,0
ENSG00000009724,45,42,83,31,65,52,64,45
ENSG00000009765,0,2,0,1,0,1,0,3
ENSG00000009780,149,193,145,153,138,184,134,190
ENSG00000009790,0,2,3,0,2,1,2,2
ENSG00000009830,427,411,438,281,493,589,360,352
ENSG00000009844,825,675,1030,535,1074,1203,744,802
ENSG00000009950,2,9,0,1,0,0,0,3
ENSG00000009954,2766,2570,3329,1911,3728,3788,2780,2713
ENSG00000010017,1358,2046,1650,1724,1832,2663,1466,2777
ENSG00000010030,29,14,20,9,17,10,16,8
ENSG00000010072,171,139,197,119,200,211,161,150
ENSG00000010165,948,923,1128,594,1006,1080,781,770
ENSG00000010219,232,184,275,124,294,307,186,160
ENSG00000010244,2222,2125,2346,1419,2802,3575,1651,1846
ENSG00000010256,1613,1760,1633,1294,1902,3078,1197,1897
ENSG00000010270,867,794,816,501,937,1007,581,677
ENSG00000010278,3089,3454,3708,3552,2599,4854,3484,5041
ENSG00000010282,0,0,0,0,0,0,0,0
ENSG00000010292,1314,1012,1331,793,1225,1415,1025,1220
ENSG00000010295,1414,1210,1640,759,892,984,1123,1212
ENSG00000010310,11,4,28,4,23,12,21,13
ENSG00000010318,68,55,78,59,79,66,75,83
ENSG00000010319,1,0,2,0,0,2,0,1
ENSG00000010322,2603,1845,3148,1379,3516,3495,2270,2090
ENSG00000010327,0,0,1,0,0,1,1,1
ENSG00000010361,204,200,254,150,173,213,181,257
ENSG00000010379,0,1,1,1,0,0,0,0
ENSG00000010404,263,220,312,163,294,461,272,320
ENSG00000010438,9,7,11,8,19,37,36,27
ENSG00000010539,136,107,144,87,159,187,125,108
ENSG00000010610,29,23,92,47,128,127,23,17
ENSG00000010626,147,107,194,104,172,179,151,112
ENSG00000010671,0,0,0,0,0,1,0,0
ENSG00000010704,487,294,552,308,450,462,444,451
